"subject","university","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"government","ALL","Which Nigerian constitution first introduced a truly federal structure with three regions each having their own regional governments?","Richards Constitution (1946)","Macpherson Constitution (1951)","Lyttleton Constitution (1954)","Independence Constitution (1960)","C","The Lyttleton Constitution of 1954 introduced a genuinely federal structure in Nigeria, giving the three regions (North, East, West) their own premier, executive council, and legislature with residual powers. Richards (1946) introduced regionalism; Macpherson (1951) created a quasi-federal structure but regions still shared a central legislature."
"government","ALL","The political party that won the 1979 Nigerian presidential election and produced the Second Republic president was the:","Unity Party of Nigeria (UPN)","Nigerian Peoples Party (NPP)","National Party of Nigeria (NPN)","Great Nigeria Peoples Party (GNPP)","C","The NPN, led by Shehu Shagari, won the 1979 presidential election. Shagari won with 25% of votes in at least 13 states, satisfying the 'one-quarter rule'. The UPN was led by Obafemi Awolowo and the NPP by Nnamdi Azikiwe."
"government","ALL","ECOWAS was established by the Treaty of Lagos in May 1975. Exactly how many founding member states originally signed the treaty?","10","12","15","16","C","Fifteen West African states signed the Treaty of Lagos on May 28, 1975, founding ECOWAS. Cape Verde later joined in 1977, bringing the total to 16, but was not a founding signatory."
"government","ALL","Montesquieu's doctrine of separation of powers, which profoundly influenced modern constitutional design, was systematically expounded in his work:","The Social Contract (1762)","Leviathan (1651)","The Spirit of the Laws (1748)","Two Treatises of Government (1689)","C","Montesquieu articulated the separation of legislative, executive, and judicial powers in 'De l'esprit des lois' (The Spirit of the Laws, 1748). Rousseau wrote The Social Contract; Hobbes wrote Leviathan; Locke wrote Two Treatises of Government."
"government","ALL","The January 15, 1966 military coup — Nigeria's first — was primarily led by:","Yakubu Gowon","Chukwuemeka Odumegwu-Ojukwu","Kaduna Nzeogwu","Murtala Mohammed","C","Major Chukwuma Kaduna Nzeogwu led the January 15, 1966 coup which killed Prime Minister Tafawa Balewa and Premiers Ahmadu Bello and Samuel Akintola. Ironsi survived and took power. Gowon and Murtala Mohammed were involved in the July 1966 counter-coup."
"government","ALL","Non-permanent members of the UN Security Council are elected by the General Assembly and serve a term of:","1 year","2 years","3 years","5 years","B","The 10 non-permanent members of the UN Security Council each serve a 2-year term and are not immediately eligible for re-election. They are elected by the General Assembly on a regional-group basis."
"government","ALL","Nigeria became a sovereign republic with an indigenous head of state replacing the British monarch on:","October 1, 1960","January 1, 1963","October 1, 1963","October 1, 1966","C","Nigeria gained independence on October 1, 1960, but remained a constitutional monarchy under Queen Elizabeth II. On October 1, 1963, Nigeria became a republic and Dr. Nnamdi Azikiwe became its first President."
"government","ALL","Under Nigeria's 1999 Constitution, a bill vetoed by the President can become law if the National Assembly overrides the veto by:","A simple majority in both chambers","A two-thirds majority in both chambers","A three-quarters majority in the Senate alone","A joint session vote by simple majority","B","Section 58(5) of Nigeria's 1999 Constitution requires a two-thirds majority vote in each chamber of the National Assembly to override a presidential veto and enact the bill into law."
"government","ALL","A fundamental distinction between a federal state and a confederation is that in a confederation:","The central government is constitutionally supreme over component units","Component units surrender their sovereignty entirely to the centre","The central government has only delegated powers while component units retain sovereignty","Both levels of government possess co-equal and concurrent sovereignty","C","In a confederation (e.g., pre-1789 USA under the Articles of Confederation), component states retain sovereignty and merely delegate limited powers to a weak centre. In a federation, sovereignty is constitutionally divided and the central government typically has supremacy in its defined sphere."
"government","ALL","Max Weber identified three pure types of legitimate authority. Which of the following is NOT one of Weber's types?","Traditional authority","Charismatic authority","Legal-rational authority","Revolutionary authority","D","Weber's three ideal types of legitimate domination are: (1) Traditional — based on custom and heredity; (2) Charismatic — based on exceptional personal qualities; (3) Legal-rational — based on formally enacted rules. 'Revolutionary authority' is not a Weberian category."
"government","ALL","The landmark US Supreme Court case that established the doctrine of judicial review — courts' power to invalidate unconstitutional legislation — was:","Brown v. Board of Education (1954)","Marbury v. Madison (1803)","McCulloch v. Maryland (1819)","Plessy v. Ferguson (1896)","B","In Marbury v. Madison (1803), Chief Justice John Marshall ruled that the Supreme Court could strike down legislation conflicting with the Constitution, establishing judicial review as a cornerstone of constitutional governance."
"government","ALL","Under Section 308 of Nigeria's 1999 Constitution, immunity from civil and criminal proceedings while in office is granted to:","The President and Vice-President only","The President, Vice-President, Governors and their Deputies","All elected officials at federal and state levels","The President, Vice-President, Senate President and Speaker","B","Section 308 confers immunity on four categories: President, Vice-President, State Governors, and Deputy Governors. This immunity exists only during tenure and covers both civil and criminal proceedings."
"government","ALL","The African Union (AU), which replaced the Organisation of African Unity (OAU), was formally established in:","1999","2000","2001","2002","D","The African Union was formally launched on July 9, 2002, in Durban, South Africa, replacing the OAU which was established in 1963. The Sirte Declaration calling for its creation was adopted in 1999."
"government","ALL","Which agent of political socialisation is generally regarded as the most primary and influential in shaping an individual's initial political values?","Mass media","Religious institutions","The family","Peer groups","C","The family is universally recognised as the primary agent of political socialisation because it is the first socialising institution a child encounters, transmitting parental political orientations, party identification, and civic values before school, peers, or media."
"government","ALL","A key distinguishing feature of totalitarianism over authoritarianism is that totalitarianism:","Relies exclusively on military coercion","Seeks to penetrate and reshape all aspects of citizens' public and private lives including thought","Allows opposition parties to operate under state surveillance","Is always characterised by a single-party system led by a charismatic dictator","B","Totalitarian regimes (e.g., Nazi Germany, Stalinist USSR) seek total control over public and private life — including ideology, culture, education, and private belief — using mass mobilisation and terror. Authoritarian regimes demand political compliance but leave private life and civil society partially intact."
"government","ALL","The Non-Aligned Movement (NAM) was founded at the 1961 Belgrade Conference. Which pair correctly identifies two of its principal founding architects?","Kwame Nkrumah and Nelson Mandela","Josip Broz Tito and Jawaharlal Nehru","Patrice Lumumba and Haile Selassie","Julius Nyerere and Leopold Senghor","B","NAM's principal founders were Josip Broz Tito (Yugoslavia), Jawaharlal Nehru (India), Gamal Abdel Nasser (Egypt), Sukarno (Indonesia), and Kwame Nkrumah (Ghana). Mandela was imprisoned in 1961; Lumumba had been assassinated earlier that year."
"government","ALL","Delegated legislation differs from primary (statute) legislation principally because delegated legislation is:","Made by the judiciary through binding court precedents","Made by subordinate authorities under powers expressly granted by the legislature in an enabling act","Subject to a compulsory national referendum before it takes effect","Applicable only within state or local government jurisdictions","B","Delegated (subsidiary) legislation is law made by executive bodies, ministers, or other subordinate entities under powers conferred by an Act of Parliament (the enabling or parent act), allowing detailed technical regulations without consuming parliamentary time."
"government","ALL","The 'containment' strategy that became the cornerstone of US Cold War foreign policy was first systematically articulated by George Kennan in his:","The Marshall Plan proposal (1947)","NSC-68 policy document (1950)","'Long Telegram' (1946) and the anonymous 'X Article' in Foreign Affairs (1947)","President Truman's address to Congress (Truman Doctrine, 1947)","C","George Kennan sent the 8,000-word 'Long Telegram' from Moscow in February 1946 outlining Soviet expansionism, then elaborated containment in the anonymous 'X Article' in Foreign Affairs in 1947. The Truman Doctrine speech and NSC-68 built on his foundational ideas."
"government","ALL","Nigeria's Senate has 109 members and the House of Representatives has 360 members. What is the TOTAL membership of the National Assembly?","400","427","469","504","C","The National Assembly comprises the Senate (109 members: 3 per each of 36 states = 108, plus 1 for the FCT) and the House of Representatives (360 members). Total: 109 + 360 = 469 members."
"government","ALL","The principle of 'Federal Character' enshrined in Nigeria's 1999 Constitution primarily aims to:","Ensure equal financial allocation to all states irrespective of population","Promote national unity by ensuring equitable distribution of public posts and resources among states and geo-political zones","Guarantee that each state produces at least one minister in the Federal Executive Council","Regulate the power of the federal government over state governments in concurrent matters","B","The Federal Character principle (Section 14(3) of the 1999 Constitution) requires that federal government composition and appointments reflect Nigeria's diversity — no predominance of persons from a few states or ethnic groups. The Federal Character Commission enforces this across appointments, procurement, and resource distribution."
