"subject","university","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"crs","ALL","According to Stephen's speech in Acts 7, God first appeared to Abraham BEFORE he settled in Haran, when he was living in:","Canaan","Haran","Mesopotamia (Ur of the Chaldeans)","Egypt","C","Acts 7:2-3 records Stephen stating: 'The God of glory appeared to our father Abraham while he was still in Mesopotamia, before he lived in Haran, and said to him...' This differs from the more familiar Genesis 12 account which begins at Haran, revealing an earlier divine encounter."
"crs","ALL","The Jerusalem Council (Acts 15) concluded that Gentile believers did not need circumcision. The four requirements placed on Gentile Christians included all of the following EXCEPT:","Abstaining from food sacrificed to idols","Abstaining from blood and meat of strangled animals","Abstaining from sexual immorality","Observing all the dietary laws of Moses","D","Acts 15:28-29 lists the four requirements: abstain from food sacrificed to idols, from blood, from meat of strangled animals, and from sexual immorality. Full Mosaic dietary law observance was precisely what the Council ruled was NOT binding on Gentile believers."
"crs","ALL","In the Beatitudes (Matthew 5:1-12), which of the following correctly pairs a condition with its precise promise?","Blessed are the merciful, for they shall see God","Blessed are the pure in heart, for they shall be called sons of God","Blessed are the peacemakers, for they shall be called sons of God","Blessed are those who mourn, for they shall inherit the earth","C","Matthew 5:9 reads: 'Blessed are the peacemakers, for they shall be called sons of God.' The merciful shall obtain mercy (v.7); the pure in heart shall see God (v.8); those who mourn shall be comforted (v.4); the meek shall inherit the earth (v.5)."
"crs","ALL","During Isaiah's call vision (Isaiah 6), a seraph purified the prophet by touching his lips with a live coal taken with tongs from:","The altar of burnt offering in the outer temple court","The altar of incense before the veil","The altar in Isaiah's heavenly vision","The lampstand in the holy place","C","Isaiah 6:6-7: 'Then one of the seraphim flew to me, having in his hand a burning coal that he had taken with tongs from the altar. And he touched my mouth and said: Behold, this has touched your lips; your guilt is taken away, and your sin atoned for.' The altar is the heavenly altar in Isaiah's vision of God's throne room."
"crs","ALL","The prophet Hosea's divinely commanded marriage to Gomer, a woman of harlotry (Hosea 1:2-3), was intended primarily to symbolise:","God's coming judgment of Israel through Assyrian invasion","Israel's spiritual unfaithfulness and covenant-breaking idolatry, while God remained the faithful spouse","The future restoration of Israel under a Davidic king","The inclusion of Gentile nations into God's covenant people","B","God commanded Hosea to marry a promiscuous woman as a living parable. Just as Gomer was unfaithful to Hosea, Israel had been unfaithful to God by pursuing Baal worship and other idols. Yet God (like Hosea who redeemed Gomer in ch.3) remained faithful to his covenant with Israel."
"crs","ALL","During Paul's second missionary journey, the city where he debated with Epicurean and Stoic philosophers on the Areopagus (Mars Hill) and proclaimed the 'Unknown God' was:","Corinth","Ephesus","Athens","Thessalonica","C","Acts 17:16-34 records Paul's famous Areopagus speech in Athens. He noticed an altar inscribed 'TO AN UNKNOWN GOD' and used it as his entry point to proclaim the God who made the world. This speech is notable as Paul's attempt to engage Greek philosophical tradition."
"crs","ALL","At the Transfiguration of Jesus on the high mountain (Matthew 17; Mark 9; Luke 9), the two heavenly figures who appeared alongside him were:","Abraham and Elijah","Moses and Elijah","Abraham and Moses","Elijah and Isaiah","B","All three Synoptic Gospel accounts identify Moses and Elijah as the figures who appeared with Jesus at the Transfiguration. Their presence is theologically significant: Moses represents the Law and Elijah represents the Prophets — together witnessing that Jesus fulfils both."
"crs","ALL","Which of the following is NOT listed among the fruit of the Spirit in Galatians 5:22-23?","Faithfulness","Gentleness","Humility","Self-control","C","Galatians 5:22-23 lists nine fruit of the Spirit: love, joy, peace, patience (longsuffering), kindness, goodness, faithfulness, gentleness, and self-control. Humility, though a valued Christian virtue mentioned elsewhere (Colossians 3:12), is not included in this specific list."
"crs","ALL","According to Jeremiah's prophecy (Jeremiah 25:11-12; 29:10), the Babylonian exile of Israel was to last:","40 years","50 years","70 years","100 years","C","Jeremiah prophesied that the nation and surrounding lands would serve the king of Babylon for 70 years, after which God would punish Babylon and restore his people. This prophecy is referenced in 2 Chronicles 36:21 and Daniel 9:2 as the basis for Daniel's prayer during the exile."
"crs","ALL","In Acts 5, Ananias and Sapphira were struck dead by God primarily because they:","Refused to sell their property for the benefit of the community","Lied to the Holy Spirit by claiming to give the full proceeds of their property sale while secretly retaining part","Worshipped in pagan temples while professing Christianity","Opposed Peter's authority as leader of the Jerusalem church","B","Acts 5:3-4: Peter said to Ananias, 'Why has Satan filled your heart to lie to the Holy Spirit and to keep back for yourself part of the proceeds of the land?...You have not lied to man but to God.' The sin was not keeping part of the money (which was their right) but the deliberate deception about giving it all."
