subject,university,question,option_a,option_b,option_c,option_d,correct_answer,explanation
physics,ALL,"A projectile is fired at 60° to the horizontal. At its highest point its speed is 20 m/s. Find the initial kinetic energy if mass = 2 kg.",400 J,800 J,1600 J,200 J,C,"At highest point: u cos60° = u/2 = 20 → u=40 m/s. KE=½(2)(40²)=1600 J. Option A uses 20 m/s directly as u."
physics,ALL,"A 5 kg block slides down a rough plane inclined at 30°. Coefficient of kinetic friction=0.3. Find acceleration. (g=10 m/s², sin30°=0.5, cos30°=√3/2)",5.0 m/s²,3.0 m/s²,1.0 m/s²,2.4 m/s²,D,"a=g(sin30°−μcos30°)=10(0.5−0.3×√3/2)=10(0.5−0.26)=2.4 m/s². Option A ignores friction. Option B adds friction instead of subtracting."
physics,ALL,"A 2 kg trolley at 10 m/s collides and sticks to a stationary 3 kg trolley. The combined system compresses a spring (k=500 N/m). Find maximum compression.",0.6 m,0.2 m,0.28 m,0.4 m,D,"Momentum: 2(10)=5v → v=4 m/s. Energy: ½(5)(16)=½(500)x² → x=0.4 m. Option A wrongly uses pre-collision speed of 10 m/s."
physics,ALL,"A 1000 kg car travels at 20 m/s over a circular hill of radius 50 m. Find the normal reaction at the top. (g=10 m/s²)",10000 N,18000 N,8000 N,2000 N,D,"mg−N=mv²/r. N=m(g−v²/r)=1000(10−8)=2000 N. Option A ignores centripetal term. Option B adds mv²/r instead of subtracting."
physics,ALL,A particle undergoes SHM with amplitude 0.1 m and period 2 s. What is its maximum acceleration?,π/10 m/s²,π²/10 m/s²,2π/10 m/s²,4π²/10 m/s²,B,"ω=2π/T=π rad/s. a_max=ω²A=π²×0.1=π²/10 m/s². Option A uses ωA (confuses max velocity with max acceleration). Option D uses ω=2π without dividing by T."
physics,ALL,Two coherent waves of equal amplitude A meet at a point where path difference is λ/3. What is the resultant amplitude?,0,A,A√3,2A,B,"φ=(2π/λ)(λ/3)=120°. R²=A²+A²+2A²cos120°=2A²−A²=A² → R=A. Option C uses cos60° instead of cos120°. Option A requires λ/2 path difference."
physics,ALL,An object is placed 30 cm in front of a concave mirror of focal length 20 cm. Find the image distance and nature.,v=12 cm; virtual and erect,v=60 cm; virtual and erect,v=60 cm; real inverted and magnified,v=60 cm; real and diminished,C,"1/v=1/20−1/30=1/60. v=60 cm (real). m=−v/u=−2 (inverted magnified). Object between F and C always gives real inverted magnified image."
physics,ALL,"Resistors 2Ω, 3Ω, 6Ω are in parallel, in series with 4Ω and 12V battery. Find current through 3Ω resistor.",4.0 A,1.2 A,2.4 A,0.8 A,D,"1/Rp=1/2+1/3+1/6=1 → Rp=1Ω. Rtotal=5Ω. I=2.4A. Vparallel=2.4V. I3=2.4/3=0.8A. Option A sends total current through 3Ω ignoring parallel split."
physics,ALL,C₁=4μF and C₂=6μF are in series across 60V. Find the charge on each and voltage across C₁.,Q=360μC; V₁=90V,Q=144μC; V₁=24V,Q=240μC; V₁=60V,Q=144μC; V₁=36V,D,"Cseries=2.4μF. Q=2.4×60=144μC (same for both). V₁=144/4=36V; V₂=144/6=24V. Option B swaps the voltages across C₁ and C₂."
physics,ALL,A 100-turn coil of area 50 cm² is perpendicular to a field changing from 0.2T to 0.6T in 0.5s. Find the induced EMF.,40 V,4 V,0.04 V,0.4 V,D,"EMF=N×A×ΔB/Δt=100×5×10⁻³×0.8=0.4V. Option A converts 50cm² as 0.5m² (100× error). Option B converts as 0.05m² (10× error)."
physics,ALL,"Light of frequency 8×10¹⁴ Hz falls on a metal with work function 2.0 eV. Find max KE of electrons. (h=6.6×10⁻³⁴ Js; 1eV=1.6×10⁻¹⁹ J)",3.3 eV,5.3 eV,2.0 eV,1.3 eV,D,"E=hf=5.28×10⁻¹⁹J=3.3eV. KE_max=3.3−2.0=1.3eV. Option A gives photon energy without subtracting work function. Option B adds instead of subtracts."
physics,ALL,²³⁸₉₂U undergoes two successive alpha decays then one beta⁻ decay. What is the resulting nuclide?,²³⁰₈₈Ra,²³⁰₈₇Fr,²²⁶₈₆Rn,²³⁰₈₉Ac,D,"Alpha×2: A→230; Z→88 (Ra). Beta×1: A unchanged; Z→89 (Ac). Result: ²³⁰₈₉Ac. Option A stops before beta decay. Option B subtracts Z for beta (wrong — beta emission increases Z)."
physics,ALL,"In a thermodynamic cycle: 500 J work done BY gas isothermally (A→B); 300 J work done ON gas adiabatically (B→C); constant volume return (C→A). Find heat exchanged in the constant-volume step.",−500 J,+300 J,−200 J,−300 J,D,"Net work=500−300=200J. Cycle: ΔU=0 so Qnet=200J. QAB=500J; QBC=0J. QCA=200−500=−300J. Option C confuses net work with the isochoric heat."
physics,ALL,"An object weighs 60N in air and 40N fully submerged in water. Find its density. (ρwater=1000 kg/m³, g=10 m/s²)",1500 kg/m³,2000 kg/m³,3000 kg/m³,6000 kg/m³,C,"Upthrust=20N. V=20/10000=2×10⁻³m³. Mass=6kg. ρ=6/(2×10⁻³)=3000 kg/m³. Equivalently: ρ=W_air/upthrust×ρwater=3×1000. Option A uses ratio W_air/W_water=1.5."
physics,ALL,The surface gravitational field strength of a planet is 4 m/s². Its radius is doubled while mass stays constant. Find the new surface g.,8 m/s²,2 m/s²,16 m/s²,1 m/s²,D,"g=GM/R². Doubling R: gnew=GM/(2R)²=g/4=1 m/s². Option B halves instead of quartering — forgetting g∝1/R² not 1/R."
physics,ALL,"For opposite charges q₁=+4μC and q₂=−1μC placed 30 cm apart, where outside the arrangement is the electric field zero?",15 cm beyond q₂,20 cm beyond q₁,10 cm beyond q₁,30 cm beyond q₂,D,"Zero field is outside beyond weaker charge q₂. k(4)/(0.3+d)²=k(1)/d² → 2d=0.3+d → d=0.3m beyond q₂. Options A and C place the point between the charges which is impossible for opposite charges."
physics,ALL,"A series AC circuit: R=6Ω, XL=8Ω, Vrms=100V. Find power factor and power dissipated.",cos φ=0.8; P=800W,cos φ=0.6; P=1000W,cos φ=1.0; P=600W,cos φ=0.6; P=600W,D,"Z=√(36+64)=10Ω. cosφ=6/10=0.6. I=10A. P=I²R=600W. Option B gets cosφ right but uses P=VI ignoring power factor. Option A swaps R and XL."
physics,ALL,"Young's double slit: slit separation=0.5mm, screen distance=2m, λ=600nm. Find fringe width.",0.6 mm,24 mm,0.24 mm,2.4 mm,D,"β=λD/d=(600×10⁻⁹×2)/(0.5×10⁻³)=2.4×10⁻³m=2.4mm. Option A divides by an extra factor of 1000. Option B uses d=0.05mm."
physics,ALL,"A 0.1 kg ball hits a wall at 20 m/s and bounces back at 15 m/s. Contact time=0.01s. Find average force exerted by wall.",50 N,200 N,150 N,350 N,D,"F=|Δp|/Δt=|0.1(−15)−0.1(20)|/0.01=3.5/0.01=350N. Option A uses Δv=20−15=5 (ignores direction reversal). Option B uses only initial momentum."
physics,ALL,"2 kg iron (c=460 J/kgK) at 80°C is added to 1 kg water (c=4200 J/kgK) at 20°C. Find equilibrium temperature.",50.0°C,23.1°C,27.6°C,30.8°C,D,"920(80−T)=4200(T−20). 73600+84000=5120T. T=157600/5120≈30.8°C. Option A is the arithmetic mean ignoring mass and specific heat. Option B swaps the masses."
