"subject","university","question","option_a","option_b","option_c","option_d","correct_answer","explanation"
"economics","ALL","If the cross-price elasticity of demand between goods X and Y is +2.5, the goods are best described as:","Perfect complements","Substitutes","Inferior goods","Giffen goods","B","A positive cross-price elasticity of demand means that when the price of X rises, demand for Y increases — indicating the goods are substitutes (consumers switch from the more expensive good to the other). Complements have negative cross-price elasticity; Giffen and inferior goods relate to the own-price/income relationship."
"economics","ALL","A Nigerian company operates a manufacturing plant in Ghana. The plant's output is correctly counted in:","Nigeria's GDP and Ghana's GNP","Ghana's GDP and Nigeria's GNP","Both Nigeria's GDP and Nigeria's GNP","Ghana's GDP and GNP only","B","GDP measures output produced within a country's borders regardless of ownership. GNP (Gross National Product) measures output produced by a country's nationals/firms regardless of location. The Ghanaian plant counts in Ghana's GDP (located there) and Nigeria's GNP (Nigerian firm)."
"economics","ALL","Country X can produce 10 units of wheat OR 5 units of cloth per day; Country Y can produce 6 units of wheat OR 4 units of cloth per day. Which statement correctly identifies each country's comparative advantage?","X has comparative advantage in both goods since it is absolutely more productive","X has comparative advantage in wheat; Y has comparative advantage in cloth","Y has comparative advantage in wheat; X has comparative advantage in cloth","Y has comparative advantage in both goods","B","Opportunity cost of wheat: X = 0.5 cloth; Y = 0.67 cloth. X has the lower opportunity cost for wheat, so X has comparative advantage in wheat. Opportunity cost of cloth: X = 2 wheat; Y = 1.5 wheat. Y has the lower opportunity cost for cloth, so Y has comparative advantage in cloth."
"economics","ALL","In a simple Keynesian model, if the marginal propensity to consume (MPC) is 0.8 and autonomous investment rises by N500 million, the total change in equilibrium national income will be:","N400 million","N1,000 million","N2,000 million","N2,500 million","D","The Keynesian expenditure multiplier = 1/(1 - MPC) = 1/(1 - 0.8) = 1/0.2 = 5. Change in income = multiplier x change in investment = 5 x N500 million = N2,500 million."
"economics","ALL","The Central Bank of Nigeria's primary instrument for signalling the direction of monetary policy — the rate at which it lends to commercial banks overnight — is the:","Cash Reserve Ratio (CRR)","Monetary Policy Rate (MPR)","Liquidity Ratio","Treasury Bill Rate","B","The Monetary Policy Rate (MPR) is the CBN's benchmark interest rate, signalling the stance of monetary policy. It is the rate at which the CBN lends to commercial banks through the standing lending facility. The CRR and Liquidity Ratio are quantitative tools that directly control bank reserves."
"economics","ALL","A monopolist practising third-degree price discrimination (charging different prices in segmented markets) will charge a HIGHER price in the market with:","More elastic demand","Less elastic demand","Perfectly elastic demand","Unit elastic demand","B","From the profit-maximising rule P(1 - 1/|e|) = MC, a lower price elasticity (less elastic demand) corresponds to a higher optimal price. Consumers with fewer substitutes are less sensitive to price increases, allowing the monopolist to extract more surplus from them."
"economics","ALL","A country's export price index rises from 120 to 150 while its import price index rises from 100 to 140. The terms of trade have:","Improved, since export prices rose more in absolute terms","Deteriorated, since import prices rose proportionally more","Remained unchanged since both indices increased","Improved, since the absolute gap between the indices widened","B","Terms of Trade = (Export Price Index / Import Price Index) x 100. Before: (120/100) x 100 = 120. After: (150/140) x 100 = 107.1. The ToT fell from 120 to 107.1, meaning the country must export more to import the same quantity — a deterioration."
"economics","ALL","If a firm doubles all its inputs (labour and capital) and its output MORE than doubles, the firm exhibits:","Diminishing returns to scale","Constant returns to scale","Increasing returns to scale","Diminishing marginal returns to a variable factor","C","Returns to scale describe what happens to output when ALL inputs are scaled proportionally. If doubling inputs more than doubles output, the firm has increasing returns to scale (economies of scale). Diminishing marginal returns is a short-run concept relating to a single variable input."
"economics","ALL","Which of the following is EXCLUDED from a country's Gross Domestic Product (GDP) using the expenditure approach?","Government expenditure on teachers' salaries","The market value of a newly constructed house","Social security pension payments made by government to retirees","The export value of goods shipped abroad","C","GDP measures the value of final goods and services produced. Transfer payments such as social security pensions, unemployment benefits, and welfare payments are excluded because they do not represent productive activity — no new good or service is produced in exchange."
"economics","ALL","In the kinked demand curve model of oligopoly (Sweezy model), prices tend to be rigid because:","Firms collude secretly to fix prices at a common level","A price increase loses customers since rivals do not follow, while a price cut gains little since rivals match it — creating a discontinuity in the marginal revenue curve","The government regulates prices in oligopolistic markets","Barriers to entry prevent undercutting by potential entrants","B","The kink in the demand curve (elastic above, inelastic below the current price) produces a vertical gap (discontinuity) in the MR curve. As long as MC passes through this gap, the profit-maximising output and price remain unchanged despite cost fluctuations — explaining observed price stickiness in oligopolies."
