subject,university,question,option_a,option_b,option_c,option_d,correct_answer,explanation
chemistry,ALL,"A compound contains 40% C, 6.67% H, and 53.33% O by mass with molar mass 180 g/mol. What is its molecular formula?",CH₂O,C₂H₄O₂,C₃H₆O₃,C₆H₁₂O₆,D,"Empirical formula CH₂O (M=30). 180/30=6. Molecular formula = C₆H₁₂O₆"
chemistry,ALL,Which best explains why the second ionisation energy of sodium is significantly higher than its first?,The second electron is removed from a filled d-subshell,The second electron is removed from n=2 shell closer to the nucleus with fewer shielding electrons,Sodium becomes a noble gas after losing one electron making further ionisation impossible,Nuclear charge increases after first ionisation,B,"After Na⁺ forms (1s²2s²2p⁶) the next electron comes from n=2 — much closer to the nucleus with only 2 inner electrons shielding."
chemistry,ALL,"25.0 cm³ of 0.100 mol/dm³ Na₂CO₃ is titrated against 0.200 mol/dm³ HCl (Na₂CO₃ + 2HCl → 2NaCl + H₂O + CO₂). What volume of HCl is required?",12.5 cm³,50.0 cm³,25.0 cm³,100.0 cm³,C,"Moles Na₂CO₃=0.0025. Moles HCl needed=0.005. Volume=0.005/0.200=0.025 dm³=25.0 cm³. Option A ignores the 1:2 ratio."
chemistry,ALL,"A gas occupies 500 cm³ at 27°C and 1.5 atm. What volume will it occupy at 127°C and 0.5 atm?",1000 cm³,750 cm³,500 cm³,2000 cm³,D,"P₁V₁/T₁=P₂V₂/T₂. T₁=300K T₂=400K. V₂=(1.5×500×400)/(300×0.5)=2000 cm³"
chemistry,ALL,Which species is isoelectronic with the nitrite ion NO₂⁻?,CO₂,NO₂,SO₂,O₃,D,"NO₂⁻ has 18 electrons and is a bent 3-atom species with one lone pair — identical electronic structure to O₃."
chemistry,ALL,"E°(Cu²⁺/Cu)=+0.34V and E°(Zn²⁺/Zn)=−0.76V. What is the EMF of the cell and which electrode is the anode?","EMF=0.42V; copper anode","EMF=1.10V; copper anode","EMF=1.10V; zinc anode","EMF=0.42V; zinc anode",C,"E°cell=0.34−(−0.76)=1.10V. Zinc is more negative so it is oxidised (anode). Option B has correct EMF but wrong anode."
chemistry,ALL,"For N₂(g)+3H₂(g)⇌2NH₃(g), ΔH=−92 kJ/mol. Which change increases BOTH yield of NH₃ AND rate of reaction?",Increasing temperature only,Decreasing pressure only,Adding a catalyst only,Increasing pressure and using a catalyst,D,"A catalyst increases rate without shifting equilibrium. Increased pressure shifts right (fewer moles) boosting yield AND rate. High temperature reduces yield."
chemistry,ALL,"A weak acid HA has Ka=1.8×10⁻⁵. Find the pH of 0.1 mol/dm³ solution. (log1.34=0.127)",5.0,3.13,2.87,2.74,C,"[H⁺]=√(1.8×10⁻⁵×0.1)=√(1.8×10⁻⁶)=1.34×10⁻³. pH=3−0.127=2.87. Option A treats it as a strong acid."
chemistry,ALL,Which statement about the benzene molecule is INCORRECT?,All C–C bond lengths in benzene are equal at 0.140 nm,The molecule is planar with bond angles of 120°,Benzene readily undergoes addition reactions due to its delocalised π electrons,The enthalpy of hydrogenation of benzene is less exothermic than predicted for three isolated double bonds,C,"Benzene undergoes electrophilic SUBSTITUTION not addition — it preserves the stable delocalised system."
chemistry,ALL,"What volume of O₂ at STP is produced when 4.9g of KClO₃ is completely decomposed? (K=39, Cl=35.5, O=16; 2KClO₃→2KCl+3O₂)",1.34 dm³,2.24 dm³,0.672 dm³,1.344 dm³,D,"M(KClO₃)=122.5. Moles=4.9/122.5=0.04. Moles O₂=0.04×3/2=0.06. Volume=0.06×22.4=1.344 dm³"
chemistry,ALL,"Rate=k[A]²[B]. If [A] is doubled and [B] is halved, the rate will:",Remain the same,Quadruple,Halve,Double,D,"New rate=k[2A]²[B/2]=4A²×B/2=2×original. Squaring A gives ×4 and halving B gives ×½ → net ×2."
chemistry,ALL,Which correctly describes the anomalous boiling point of water?,"Electronegativity decreases across a period; high boiling point due to high molar mass","Electronegativity increases across a period; high boiling point due to strong intermolecular hydrogen bonding from high electronegativity and small atomic radius of O","Electronegativity decreases down a group; high boiling point due to van der Waals forces","Electronegativity increases down a group; high boiling point due to covalent bonding between molecules",B,"O has high electronegativity and small size making O–H bonds highly polar. Each water molecule forms up to 4 hydrogen bonds."
chemistry,ALL,In the contact process why is SO₃ absorbed in concentrated H₂SO₄ rather than water?,Water would reduce concentration of H₂SO₄ produced,SO₃ is insoluble in water,Dissolving SO₃ directly in water produces an uncontrollable acidic mist that cannot be condensed efficiently,Water reacts with SO₃ to form SO₂ instead of H₂SO₄,C,"SO₃+H₂O is highly exothermic producing fine acid mist too small to condense. Oleum absorption is efficient and controllable."
chemistry,ALL,"Compound X has formula C₄H₈O. It decolourises bromine water AND gives a silver mirror with Tollens' reagent. What is X?",Butanone,Tetrahydrofuran,But-2-en-1-ol,But-2-enal (crotonaldehyde),D,"X needs C=C (Br₂ water) AND aldehyde (Tollens'). But-2-enal (CH₃CH=CHCHO) satisfies both. Butanone has neither. But-2-en-1-ol has no aldehyde."
chemistry,ALL,"2A is passed through CuSO₄ for 32 min 10 s. What mass of Cu is deposited? (Cu=64, F=96500 C/mol)",1.28 g,0.64 g,2.56 g,0.32 g,A,"Q=2×1930=3860C. Moles e⁻=3860/96500=0.04. Cu²⁺+2e⁻→Cu so moles Cu=0.02. Mass=0.02×64=1.28g. B uses 1:1 electron ratio."
chemistry,ALL,Which pair of compounds are functional group isomers?,Propan-1-ol and propan-2-ol,Methylpropane and butane,Ethanoic acid and methyl methanoate,Propanal and propanone,D,"Functional group isomers share the same formula but different functional groups. Propanal (aldehyde) and propanone (ketone) both have C₃H₆O."
chemistry,ALL,The half-life of a radioactive isotope is 8 days. What fraction of a sample remains after 32 days?,1/8,1/2,1/32,1/16,D,"32 days = 4 half-lives. Fraction = (1/2)⁴ = 1/16. Option A gives (1/2)³ — only 3 half-lives."
chemistry,ALL,Which of the following oxides is amphoteric?,Na₂O,SO₃,Al₂O₃,MgO,C,"Al₂O₃ reacts with both acids (→AlCl₃) and strong bases (→NaAlO₂). Na₂O and MgO are basic. SO₃ is acidic."
